imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0113028,MPAAPG,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0113028/?ref_=bo_se_r_1
tt0113870,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0113870/?ref_=bo_se_r_1
tt0112443,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112443/?ref_=bo_se_r_1
tt0112471,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0112471/?ref_=bo_se_r_1
tt0113808,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113808/?ref_=bo_se_r_1
tt0112571,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0112571/?ref_=bo_se_r_1
tt0113409,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0113409/?ref_=bo_se_r_1
tt0110189,MPAAR,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110189/?ref_=bo_se_r_1
tt0112508,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112508/?ref_=bo_se_r_1
tt0114214,MPAAR,Sony Pictures Entertainment (SPE)See full company information,https://www.boxofficemojo.com/title/tt0114214/?ref_=bo_se_r_1
tt0112572,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0112572/?ref_=bo_se_r_1
tt0113501,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0113501/?ref_=bo_se_r_1
tt0110006,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110006/?ref_=bo_se_r_1
tt0113360,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113360/?ref_=bo_se_r_1
tt0114888,MPAAR,Savoy Pictures,https://www.boxofficemojo.com/title/tt0114888/?ref_=bo_se_r_1
tt0113755,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0113755/?ref_=bo_se_r_1
